numero,variable,region,model,langue,surprisal
10,TruthNeg,17.737545013427734,BERT,Chinese,0
10,FalsePos,16.086833953857422,BERT,Chinese,0
10,FalsePos,15.518784523010254,BERT,Chinese,0
10,FalsePos,16.77692222595215,BERT,Chinese,0
11,TruthNeg,13.482943534851074,BERT,Chinese,0
11,TruthNeg,18.947071075439453,BERT,Chinese,0
11,TruthNeg,17.787813186645508,BERT,Chinese,0
11,FalsePos,15.766740798950195,BERT,Chinese,0
11,FalsePos,14.634744644165039,BERT,Chinese,0
11,FalsePos,18.618131637573242,BERT,Chinese,0
12,TruthNeg,22.42551040649414,BERT,Chinese,0
12,TruthNeg,19.274188995361328,BERT,Chinese,0
12,TruthNeg,16.975099563598633,BERT,Chinese,0
12,FalsePos,19.021142959594727,BERT,Chinese,0
12,FalsePos,18.53523826599121,BERT,Chinese,0
12,FalsePos,19.728473663330078,BERT,Chinese,0
13,TruthPos,14.370628356933594,BERT,Chinese,0
13,TruthPos,16.04733657836914,BERT,Chinese,0
13,TruthPos,16.217649459838867,BERT,Chinese,0
13,FalseNeg,15.12527084350586,BERT,Chinese,0
13,FalseNeg,12.997357368469238,BERT,Chinese,0
13,FalseNeg,15.256054878234863,BERT,Chinese,0
14,TruthNeg,19.257104873657227,BERT,Chinese,0
14,TruthNeg,14.030920028686523,BERT,Chinese,0
14,TruthNeg,17.566387176513672,BERT,Chinese,0
14,FalsePos,15.113632202148438,BERT,Chinese,0
14,FalsePos,14.653677940368652,BERT,Chinese,0
14,FalsePos,18.982067108154297,BERT,Chinese,0
15,TruthNeg,18.98154640197754,BERT,Chinese,0
15,TruthNeg,16.497217178344727,BERT,Chinese,0
15,TruthNeg,17.853656768798828,BERT,Chinese,0
15,FalsePos,14.402815818786621,BERT,Chinese,0
15,FalsePos,19.34245491027832,BERT,Chinese,0
15,FalsePos,18.27693748474121,BERT,Chinese,0
16,TruthNeg,19.68464469909668,BERT,Chinese,0
16,TruthNeg,15.35258960723877,BERT,Chinese,0
16,TruthNeg,19.1892032623291,BERT,Chinese,0
16,FalsePos,17.581981658935547,BERT,Chinese,0
16,FalsePos,13.774127006530762,BERT,Chinese,0
16,FalsePos,18.974956512451172,BERT,Chinese,0
17,TruthNeg,13.763399124145508,BERT,Chinese,0
17,TruthNeg,14.38369369506836,BERT,Chinese,0
17,TruthNeg,15.289777755737305,BERT,Chinese,0
17,FalsePos,15.291979789733887,BERT,Chinese,0
17,FalsePos,14.677704811096191,BERT,Chinese,0
17,FalsePos,17.28799057006836,BERT,Chinese,0
18,TruthPos,19.17641830444336,BERT,Chinese,0
18,TruthPos,21.414112091064453,BERT,Chinese,0
18,TruthPos,17.632131576538086,BERT,Chinese,0
18,FalseNeg,16.818944931030273,BERT,Chinese,0
18,FalseNeg,17.100378036499023,BERT,Chinese,0
18,FalseNeg,18.59180450439453,BERT,Chinese,0
